Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],? [deg],?? [deg]
1,1,1,793.173,611.444,0,255,0,0,NA,NA,NA,NA,NA
2,1,2,793.678,611.444,925.311,255,0.505,0.505,NA,0.505,5.456E-4,0,NA
3,1,3,793.678,611.444,1850.622,250,0.505,0.505,NA,0,0,0,0
4,1,4,793.173,610.434,2775.933,225,1.634,1.01,NA,1.129,0.001,-116.565,-116.565
5,1,5,792.163,609.929,3701.244,207,2.762,1.82,NA,1.129,0.001,-153.435,-36.87
6,1,6,792.163,609.929,4626.555,251,2.762,1.82,NA,0,0,0,153.435
7,1,7,792.163,609.929,5551.866,229,2.762,1.82,NA,0,0,0,0
8,1,8,792.163,609.929,6477.177,207,2.762,1.82,NA,0,0,0,0
9,1,9,790.649,609.424,7402.488,194,4.359,3.232,NA,1.596,0.002,-161.565,-161.565
10,1,10,790.649,609.424,8327.799,255,4.359,3.232,NA,0,0,0,161.565
11,1,11,790.649,609.424,9253.11,198,4.359,3.232,NA,0,0,0,0
12,1,12,790.649,609.424,10178.421,204,4.359,3.232,NA,0,0,0,0
13,1,13,790.649,609.424,11103.732,200,4.359,3.232,NA,0,0,0,0
14,1,14,790.649,609.424,12029.043,206,4.359,3.232,NA,0,0,0,0
15,1,15,788.63,609.424,12954.354,240,6.378,4.972,NA,2.019,0.002,180,180
16,1,16,786.106,607.405,13879.665,232,9.61,8.14,NA,3.232,0.003,-141.34,38.66
17,1,17,786.106,607.405,14804.976,164,9.61,8.14,NA,0,0,0,141.34
18,1,18,785.601,606.9,15730.287,195,10.324,8.83,NA,0.714,7.715E-4,-135,-135
19,1,19,785.601,606.9,16655.598,181,10.324,8.83,NA,0,0,0,135
20,1,20,785.601,606.9,17580.909,123,10.324,8.83,NA,0,0,0,0
21,1,21,785.601,606.9,18506.219,172,10.324,8.83,NA,0,0,0,0
22,1,22,785.601,606.9,19431.53,126,10.324,8.83,NA,0,0,0,0
23,1,23,785.601,606.396,20356.841,96,10.829,9.1,NA,0.505,5.456E-4,-90,-90
24,1,24,785.601,606.396,21282.152,155,10.829,9.1,NA,0,0,0,90
25,1,25,785.601,605.891,22207.463,221,11.334,9.39,NA,0.505,5.456E-4,-90,-90
26,1,26,785.601,605.891,23132.774,124,11.334,9.39,NA,0,0,0,90
27,1,27,785.601,605.891,24058.085,255,11.334,9.39,NA,0,0,0,0
28,1,28,785.601,605.386,24983.396,198,11.839,9.697,NA,0.505,5.456E-4,-90,-90
29,1,29,785.601,605.386,25908.707,193,11.839,9.697,NA,0,0,0,90
30,1,30,785.601,603.367,26834.018,128,13.858,11.071,NA,2.019,0.002,-90,-90
31,1,31,785.601,603.367,27759.329,142,13.858,11.071,NA,0,0,0,90
32,1,32,785.601,603.367,28684.64,238,13.858,11.071,NA,0,0,0,0
33,1,33,784.591,600.338,29609.951,158,17.05,14.035,NA,3.193,0.003,-108.435,-108.435
34,1,34,784.087,598.319,30535.262,255,19.132,15.963,NA,2.081,0.002,-104.036,4.399
35,1,35,784.087,598.319,31460.573,242,19.132,15.963,NA,0,0,0,104.036
36,1,36,784.087,595.29,32385.884,128,22.161,18.534,NA,3.029,0.003,-90,-90
37,1,37,784.087,595.29,33311.195,115,22.161,18.534,NA,0,0,0,90
38,1,38,784.087,594.785,34236.506,127,22.665,18.976,NA,0.505,5.456E-4,-90,-90
39,1,39,784.087,593.271,35161.817,101,24.18,20.318,NA,1.514,0.002,-90,0
40,1,40,782.572,587.213,36087.128,166,30.424,26.448,NA,6.244,0.007,-104.036,-14.036
41,1,41,781.058,583.175,37012.439,120,34.737,30.756,NA,4.313,0.005,-110.556,-6.52
42,1,42,781.058,583.175,37937.75,223,34.737,30.756,NA,0,0,0,110.556
43,1,43,781.058,583.175,38863.061,182,34.737,30.756,NA,0,0,0,0
44,1,44,781.058,583.175,39788.372,213,34.737,30.756,NA,0,0,0,0
45,1,45,781.058,583.175,40713.683,167,34.737,30.756,NA,0,0,0,0
46,1,46,781.058,583.175,41638.994,154,34.737,30.756,NA,0,0,0,0
47,1,47,781.058,583.175,42564.305,147,34.737,30.756,NA,0,0,0,0
48,1,48,781.058,583.175,43489.616,83,34.737,30.756,NA,0,0,0,0
49,1,49,781.058,583.175,44414.927,51,34.737,30.756,NA,0,0,0,0
50,1,50,783.582,581.66,45340.238,82,37.68,31.29,NA,2.943,0.003,-30.964,-30.964
51,1,51,783.582,581.66,46265.549,81,37.68,31.29,NA,0,0,0,30.964
52,1,52,783.582,581.66,47190.86,113,37.68,31.29,NA,0,0,0,0
53,1,53,782.572,580.651,48116.171,142,39.108,32.567,NA,1.428,0.002,-135,-135
54,1,54,782.572,580.651,49041.482,161,39.108,32.567,NA,0,0,0,135
55,1,55,782.572,580.651,49966.793,85,39.108,32.567,NA,0,0,0,0
56,1,56,782.572,580.651,50892.104,142,39.108,32.567,NA,0,0,0,0
57,1,57,782.572,580.651,51817.415,135,39.108,32.567,NA,0,0,0,0
58,1,58,782.572,580.651,52742.726,182,39.108,32.567,NA,0,0,0,0
59,1,59,782.572,580.651,53668.036,105,39.108,32.567,NA,0,0,0,0
60,1,60,782.572,580.651,54593.347,166,39.108,32.567,NA,0,0,0,0
61,1,61,780.553,575.603,55518.658,103,44.545,37.998,NA,5.437,0.006,-111.801,-111.801
62,1,62,780.553,575.603,56443.969,154,44.545,37.998,NA,0,0,0,111.801
63,1,63,779.039,574.088,57369.28,130,46.687,39.94,NA,2.142,0.002,-135,-135
64,1,64,773.99,566.011,58294.591,98,56.211,49.316,NA,9.525,0.01,-122.005,12.995
65,1,65,772.981,561.468,59219.902,105,60.866,53.901,NA,4.654,0.005,-102.529,19.477
66,1,66,770.962,557.934,60145.213,136,64.935,57.936,NA,4.07,0.004,-119.745,-17.216
67,1,67,768.942,550.867,61070.524,119,72.285,65.243,NA,7.35,0.008,-105.945,13.799
68,1,68,766.418,546.829,61995.835,130,77.048,69.935,NA,4.762,0.005,-122.005,-16.06
69,1,69,765.914,545.314,62921.146,242,78.644,71.527,NA,1.596,0.002,-108.435,13.57
70,1,70,765.409,543.295,63846.457,147,80.725,73.587,NA,2.081,0.002,-104.036,4.399
71,1,71,765.409,543.295,64771.768,117,80.725,73.587,NA,0,0,0,104.036
72,1,72,765.409,543.295,65697.079,107,80.725,73.587,NA,0,0,0,0
73,1,73,763.39,534.209,66622.39,102,90.034,82.779,NA,9.308,0.01,-102.529,-102.529
74,1,74,761.875,529.161,67547.701,146,95.304,88.034,NA,5.27,0.006,-106.699,-4.17
75,1,75,761.37,524.113,68473.012,120,100.377,92.942,NA,5.073,0.005,-95.711,10.989
76,1,76,761.37,523.608,69398.323,156,100.882,93.416,NA,0.505,5.456E-4,-90,5.711
77,1,77,761.37,523.608,70323.634,180,100.882,93.416,NA,0,0,0,90
78,1,78,761.37,523.608,71248.945,189,100.882,93.416,NA,0,0,0,0
79,1,79,761.37,523.608,72174.256,180,100.882,93.416,NA,0,0,0,0
80,1,80,761.37,523.608,73099.567,143,100.882,93.416,NA,0,0,0,0
81,1,81,761.37,523.608,74024.878,146,100.882,93.416,NA,0,0,0,0
82,1,82,761.37,523.608,74950.189,75,100.882,93.416,NA,0,0,0,0
83,1,83,761.37,522.598,75875.5,154,101.891,94.366,NA,1.01,0.001,-90,-90
84,1,84,761.37,522.093,76800.811,133,102.396,94.841,NA,0.505,5.456E-4,-90,0
85,1,85,761.37,522.093,77726.122,141,102.396,94.841,NA,0,0,0,90
86,1,86,761.37,522.093,78651.433,84,102.396,94.841,NA,0,0,0,0
87,1,87,761.37,519.065,79576.744,110,105.425,97.7,NA,3.029,0.003,-90,-90
88,1,88,761.37,519.065,80502.055,115,105.425,97.7,NA,0,0,0,90
89,1,89,761.37,519.065,81427.366,45,105.425,97.7,NA,0,0,0,0
90,1,90,761.37,519.065,82352.677,66,105.425,97.7,NA,0,0,0,0
91,1,91,761.37,519.065,83277.988,138,105.425,97.7,NA,0,0,0,0
92,1,92,761.37,519.065,84203.299,73,105.425,97.7,NA,0,0,0,0
93,1,93,761.37,519.065,85128.61,101,105.425,97.7,NA,0,0,0,0
94,1,94,761.37,519.065,86053.921,88,105.425,97.7,NA,0,0,0,0
95,1,95,761.37,514.521,86979.232,152,109.968,102.007,NA,4.543,0.005,-90,-90
96,1,96,761.37,508.464,87904.543,75,116.026,107.779,NA,6.058,0.007,-90,0
97,1,97,760.361,502.406,88829.854,100,122.167,113.868,NA,6.141,0.007,-99.462,-9.462
98,1,98,758.846,500.387,89755.164,148,124.691,116.241,NA,2.524,0.003,-126.87,-27.408
99,1,99,758.846,499.882,90680.475,180,125.196,116.723,NA,0.505,5.456E-4,-90,36.87
100,1,100,758.846,499.882,91605.786,170,125.196,116.723,NA,0,0,0,90
101,1,101,758.846,495.844,92531.097,129,129.234,120.589,NA,4.038,0.004,-90,-90
102,1,102,757.332,491.3,93456.408,127,134.023,125.375,NA,4.789,0.005,-108.435,-18.435
103,1,103,756.322,486.252,94381.719,121,139.171,130.502,NA,5.148,0.006,-101.31,7.125
104,1,104,756.322,486.252,95307.03,155,139.171,130.502,NA,0,0,0,101.31
105,1,105,755.313,482.719,96232.341,88,142.846,134.177,NA,3.675,0.004,-105.945,-105.945
106,1,106,754.808,480.195,97157.652,123,145.42,136.741,NA,2.574,0.003,-101.31,4.635
107,1,107,754.808,480.195,98082.963,59,145.42,136.741,NA,0,0,0,101.31
108,1,108,754.808,480.195,99008.274,88,145.42,136.741,NA,0,0,0,0
109,1,109,754.808,480.195,99933.585,34,145.42,136.741,NA,0,0,0,0
110,1,110,754.808,480.195,100858.896,125,145.42,136.741,NA,0,0,0,0
111,1,111,754.808,480.195,101784.207,148,145.42,136.741,NA,0,0,0,0
112,1,112,754.808,480.195,102709.518,112,145.42,136.741,NA,0,0,0,0
113,1,113,754.808,480.195,103634.829,86,145.42,136.741,NA,0,0,0,0
114,1,114,754.808,480.195,104560.14,57,145.42,136.741,NA,0,0,0,0
115,1,115,754.808,480.195,105485.451,69,145.42,136.741,NA,0,0,0,0
116,1,116,754.808,480.195,106410.762,19,145.42,136.741,NA,0,0,0,0
117,1,117,754.303,480.195,107336.073,30,145.925,136.884,NA,0.505,5.456E-4,180,180
118,1,118,754.303,480.195,108261.384,38,145.925,136.884,NA,0,0,0,-180
119,1,119,754.303,480.195,109186.695,30,145.925,136.884,NA,0,0,0,0
120,1,120,754.303,480.195,110112.006,30,145.925,136.884,NA,0,0,0,0
121,1,121,754.303,480.195,111037.317,92,145.925,136.884,NA,0,0,0,0
122,1,122,754.303,480.195,111962.628,22,145.925,136.884,NA,0,0,0,0
123,1,123,754.303,480.195,112887.939,47,145.925,136.884,NA,0,0,0,0
124,1,124,754.303,480.195,113813.25,91,145.925,136.884,NA,0,0,0,0
125,1,125,754.303,480.195,114738.561,11,145.925,136.884,NA,0,0,0,0
126,1,126,754.303,480.195,115663.872,47,145.925,136.884,NA,0,0,0,0
127,1,127,754.303,480.195,116589.183,56,145.925,136.884,NA,0,0,0,0
128,1,128,754.303,480.195,117514.494,111,145.925,136.884,NA,0,0,0,0
129,1,129,754.303,480.195,118439.805,96,145.925,136.884,NA,0,0,0,0
130,1,130,754.303,480.195,119365.116,97,145.925,136.884,NA,0,0,0,0
131,1,131,752.789,479.69,120290.427,69,147.522,137.804,NA,1.596,0.002,-161.565,-161.565
132,1,132,752.789,479.69,121215.738,44,147.522,137.804,NA,0,0,0,161.565
133,1,133,751.274,479.185,122141.049,62,149.118,138.737,NA,1.596,0.002,-161.565,-161.565
134,1,134,751.274,479.185,123066.36,77,149.118,138.737,NA,0,0,0,161.565
135,1,135,748.75,477.671,123991.671,21,152.061,140.956,NA,2.943,0.003,-149.036,-149.036
136,1,136,747.741,476.661,124916.982,63,153.489,142.234,NA,1.428,0.002,-135,14.036
137,1,137,747.741,476.661,125842.292,61,153.489,142.234,NA,0,0,0,135
138,1,138,744.207,475.651,126767.603,48,157.164,144.351,NA,3.675,0.004,-164.055,-164.055
139,1,139,744.207,475.651,127692.914,65,157.164,144.351,NA,0,0,0,164.055
140,1,140,743.197,474.137,128618.225,117,158.984,146.119,NA,1.82,0.002,-123.69,-123.69
141,1,141,742.693,473.632,129543.536,67,159.698,146.766,NA,0.714,7.715E-4,-135,-11.31
142,1,142,742.188,471.108,130468.847,37,162.272,149.31,NA,2.574,0.003,-101.31,33.69
143,1,143,742.188,471.108,131394.158,83,162.272,149.31,NA,0,0,0,101.31
144,1,144,741.683,470.603,132319.469,80,162.986,149.957,NA,0.714,7.715E-4,-135,-135
145,1,145,742.693,467.07,133244.78,92,166.661,152.945,NA,3.675,0.004,-74.055,60.945
146,1,146,740.673,465.051,134170.091,52,169.517,155.522,NA,2.856,0.003,-135,-60.945
147,1,147,739.159,461.517,135095.402,50,173.361,159.36,NA,3.844,0.004,-113.199,21.801
148,1,148,739.159,457.983,136020.713,39,176.895,162.689,NA,3.534,0.004,-90,23.199
149,1,149,737.645,455.964,136946.024,45,179.419,165.098,NA,2.524,0.003,-126.87,-36.87
150,1,150,737.645,455.459,137871.335,30,179.924,165.573,NA,0.505,5.456E-4,-90,36.87
151,1,151,737.645,455.459,138796.646,60,179.924,165.573,NA,0,0,0,90
152,1,152,737.645,455.459,139721.957,24,179.924,165.573,NA,0,0,0,0
153,1,154,737.645,455.459,140647.268,60,179.924,165.573,NA,0,0,0,0
154,2,1,789.135,656.371,0,255,0,0,NA,NA,NA,NA,NA
155,2,2,787.62,655.866,925.311,253,1.596,1.596,NA,1.596,0.002,-161.565,NA
156,2,3,787.62,655.866,1850.622,251,1.596,1.596,NA,0,0,0,161.565
157,2,4,787.62,655.866,2775.933,255,1.596,1.596,NA,0,0,0,0
158,2,5,787.62,655.866,3701.244,245,1.596,1.596,NA,0,0,0,0
159,2,6,787.62,655.866,4626.555,168,1.596,1.596,NA,0,0,0,0
160,2,7,787.62,655.866,5551.866,174,1.596,1.596,NA,0,0,0,0
161,2,8,787.62,655.866,6477.177,190,1.596,1.596,NA,0,0,0,0
162,2,9,787.115,655.866,7402.488,186,2.101,2.081,NA,0.505,5.456E-4,180,180
163,2,10,787.115,655.866,8327.799,255,2.101,2.081,NA,0,0,0,-180
164,2,11,786.106,655.866,9253.11,175,3.111,3.071,NA,1.01,0.001,180,180
165,2,12,786.106,655.866,10178.421,255,3.111,3.071,NA,0,0,0,-180
166,2,13,786.106,655.866,11103.732,217,3.111,3.071,NA,0,0,0,0
167,2,14,785.601,655.866,12029.043,139,3.616,3.57,NA,0.505,5.456E-4,180,180
168,2,15,783.582,655.866,12954.354,255,5.635,5.576,NA,2.019,0.002,180,0
169,2,16,782.067,655.866,13879.665,255,7.149,7.085,NA,1.514,0.002,180,0
170,2,17,782.067,655.866,14804.976,255,7.149,7.085,NA,0,0,0,-180
171,2,18,781.058,655.866,15730.287,254,8.159,8.093,NA,1.01,0.001,180,180
172,2,19,779.543,655.362,16655.598,253,9.755,9.644,NA,1.596,0.002,-161.565,18.435
173,2,20,778.029,655.362,17580.909,255,11.27,11.151,NA,1.514,0.002,180,-18.435
174,2,21,777.524,655.362,18506.219,255,11.774,11.654,NA,0.505,5.456E-4,180,0
175,2,22,777.019,655.362,19431.53,255,12.279,12.157,NA,0.505,5.456E-4,180,0
176,2,23,777.019,655.362,20356.841,255,12.279,12.157,NA,0,0,0,-180
177,2,24,777.019,655.362,21282.152,255,12.279,12.157,NA,0,0,0,0
178,2,25,775.505,654.352,22207.463,244,14.099,13.778,NA,1.82,0.002,-146.31,-146.31
179,2,26,775.505,654.352,23132.774,254,14.099,13.778,NA,0,0,0,146.31
180,2,27,774.495,653.847,24058.085,255,15.228,14.855,NA,1.129,0.001,-153.435,-153.435
181,2,28,774.495,653.847,24983.396,218,15.228,14.855,NA,0,0,0,153.435
182,2,29,774.495,653.847,25908.707,255,15.228,14.855,NA,0,0,0,0
183,2,30,774.495,653.847,26834.018,255,15.228,14.855,NA,0,0,0,0
184,2,31,773.99,653.342,27759.329,254,15.942,15.444,NA,0.714,7.715E-4,-135,-135
185,2,32,773.99,653.342,28684.64,255,15.942,15.444,NA,0,0,0,135
186,2,33,773.99,653.342,29609.951,255,15.942,15.444,NA,0,0,0,0
187,2,34,772.981,653.342,30535.262,244,16.952,16.435,NA,1.01,0.001,180,180
188,2,35,772.981,653.342,31460.573,238,16.952,16.435,NA,0,0,0,-180
189,2,36,772.981,653.342,32385.884,172,16.952,16.435,NA,0,0,0,0
190,2,37,772.981,652.333,33311.195,245,17.961,16.651,NA,1.01,0.001,-90,-90
191,2,38,772.981,651.828,34236.506,232,18.466,16.78,NA,0.505,5.456E-4,-90,0
192,2,39,772.476,650.818,35161.817,212,19.595,17.56,NA,1.129,0.001,-116.565,-26.565
193,2,40,771.971,650.314,36087.128,192,20.309,18.201,NA,0.714,7.715E-4,-135,-18.435
194,2,41,770.962,648.799,37012.439,114,22.129,19.687,NA,1.82,0.002,-123.69,11.31
195,2,42,763.39,642.237,37937.75,219,32.149,29.37,NA,10.02,0.011,-139.086,-15.396
196,2,43,759.856,638.198,38863.061,148,37.515,34.46,NA,5.366,0.006,-131.186,7.9
197,2,44,756.322,636.684,39788.372,228,41.359,38.265,NA,3.844,0.004,-156.801,-25.615
198,2,45,753.798,634.16,40713.683,202,44.929,41.737,NA,3.57,0.004,-135,21.801
199,2,46,748.245,629.617,41638.994,191,52.103,48.864,NA,7.175,0.008,-140.711,-5.711
200,2,47,744.712,626.588,42564.305,167,56.758,53.483,NA,4.654,0.005,-139.399,1.312
201,2,48,744.712,626.588,43489.616,192,56.758,53.483,NA,0,0,0,139.399
202,2,49,744.712,625.073,44414.927,153,58.272,54.341,NA,1.514,0.002,-90,-90
203,2,50,744.712,624.064,45340.238,214,59.282,54.929,NA,1.01,0.001,-90,0
204,2,51,743.197,620.53,46265.549,232,63.126,58.265,NA,3.844,0.004,-113.199,-23.199
205,2,52,743.197,618.511,47190.86,205,65.145,59.528,NA,2.019,0.002,-90,23.199
206,2,53,743.197,618.511,48116.171,187,65.145,59.528,NA,0,0,0,90
207,2,54,743.197,618.511,49041.482,140,65.145,59.528,NA,0,0,0,0
208,2,55,743.197,618.511,49966.793,182,65.145,59.528,NA,0,0,0,0
209,2,56,743.197,618.511,50892.104,179,65.145,59.528,NA,0,0,0,0
210,2,57,743.197,618.511,51817.415,190,65.145,59.528,NA,0,0,0,0
211,2,58,743.197,618.511,52742.726,200,65.145,59.528,NA,0,0,0,0
212,2,59,742.693,615.987,53668.036,185,67.719,61.545,NA,2.574,0.003,-101.31,-101.31
213,2,60,742.693,615.987,54593.347,117,67.719,61.545,NA,0,0,0,101.31
214,2,61,742.693,614.977,55518.658,111,68.729,62.212,NA,1.01,0.001,-90,-90
215,2,62,742.693,614.977,56443.969,145,68.729,62.212,NA,0,0,0,90
216,2,63,742.693,614.977,57369.28,127,68.729,62.212,NA,0,0,0,0
217,2,64,742.693,614.977,58294.591,125,68.729,62.212,NA,0,0,0,0
218,2,65,742.693,614.977,59219.902,129,68.729,62.212,NA,0,0,0,0
219,2,66,742.693,614.977,60145.213,86,68.729,62.212,NA,0,0,0,0
220,2,67,742.693,614.977,61070.524,121,68.729,62.212,NA,0,0,0,0
221,2,68,742.693,614.977,61995.835,115,68.729,62.212,NA,0,0,0,0
222,2,69,742.693,614.977,62921.146,134,68.729,62.212,NA,0,0,0,0
223,2,70,742.693,614.977,63846.457,100,68.729,62.212,NA,0,0,0,0
224,2,71,742.693,614.977,64771.768,92,68.729,62.212,NA,0,0,0,0
225,2,82,743.702,613.968,65697.079,121,70.157,62.146,NA,1.428,0.002,-45,-45
226,2,83,743.702,613.968,66622.39,216,70.157,62.146,NA,0,0,0,45
227,2,84,743.702,613.968,67547.701,118,70.157,62.146,NA,0,0,0,0
228,2,85,743.702,613.968,68473.012,254,70.157,62.146,NA,0,0,0,0
229,2,86,743.702,613.968,69398.323,222,70.157,62.146,NA,0,0,0,0
230,2,87,744.207,610.434,70323.634,79,73.726,64.255,NA,3.57,0.004,-81.87,-81.87
231,2,88,743.702,605.891,71248.945,183,78.297,67.914,NA,4.571,0.005,-96.34,-14.47
232,2,89,743.702,602.357,72174.256,205,81.831,70.581,NA,3.534,0.004,-90,6.34
233,2,90,742.693,600.338,73099.567,147,84.089,72.778,NA,2.258,0.002,-116.565,-26.565
234,2,91,742.188,600.338,74024.878,123,84.593,73.101,NA,0.505,5.456E-4,180,-63.435
235,2,92,742.188,600.338,74950.189,163,84.593,73.101,NA,0,0,0,-180
236,2,93,742.188,600.338,75875.5,146,84.593,73.101,NA,0,0,0,0
237,2,94,742.188,600.338,76800.811,184,84.593,73.101,NA,0,0,0,0
238,2,95,742.188,600.338,77726.122,232,84.593,73.101,NA,0,0,0,0
239,2,96,742.188,600.338,78651.433,202,84.593,73.101,NA,0,0,0,0
240,2,97,742.188,600.338,79576.744,156,84.593,73.101,NA,0,0,0,0
241,2,98,742.188,600.338,80502.055,168,84.593,73.101,NA,0,0,0,0
242,2,99,742.188,599.833,81427.366,200,85.098,73.488,NA,0.505,5.456E-4,-90,-90
243,2,100,740.169,596.3,82352.677,231,89.168,77.5,NA,4.07,0.004,-119.745,-29.745
244,2,101,739.159,594.28,83277.988,194,91.426,79.705,NA,2.258,0.002,-116.565,3.18
245,2,102,738.149,591.251,84203.299,185,94.618,82.705,NA,3.193,0.003,-108.435,8.13
246,2,103,737.645,590.242,85128.61,198,95.747,83.811,NA,1.129,0.001,-116.565,-8.13
247,2,104,737.645,590.242,86053.921,223,95.747,83.811,NA,0,0,0,116.565
248,2,105,737.645,586.203,86979.232,229,99.785,87.033,NA,4.038,0.004,-90,-90
249,2,106,737.645,586.203,87904.543,123,99.785,87.033,NA,0,0,0,90
250,2,107,737.14,585.699,88829.854,123,100.499,87.739,NA,0.714,7.715E-4,-135,-135
251,2,108,737.14,584.689,89755.164,103,101.509,88.554,NA,1.01,0.001,-90,45
252,2,109,737.14,584.689,90680.475,141,101.509,88.554,NA,0,0,0,90
253,2,110,737.14,584.689,91605.786,162,101.509,88.554,NA,0,0,0,0
254,2,111,737.14,582.67,92531.097,149,103.528,90.196,NA,2.019,0.002,-90,-90
255,2,112,737.14,581.66,93456.408,168,104.538,91.023,NA,1.01,0.001,-90,0
256,2,113,737.14,579.641,94381.719,164,106.557,92.688,NA,2.019,0.002,-90,0
257,2,114,737.14,579.136,95307.03,173,107.062,93.106,NA,0.505,5.456E-4,-90,0
258,2,115,737.14,579.136,96232.341,164,107.062,93.106,NA,0,0,0,90
259,2,116,737.14,579.136,97157.652,174,107.062,93.106,NA,0,0,0,0
260,2,117,737.14,579.136,98082.963,154,107.062,93.106,NA,0,0,0,0
261,2,118,737.14,579.136,99008.274,166,107.062,93.106,NA,0,0,0,0
262,2,119,737.14,576.107,99933.585,190,110.091,95.633,NA,3.029,0.003,-90,-90
263,2,120,737.14,576.107,100858.896,209,110.091,95.633,NA,0,0,0,90
264,2,121,737.14,575.603,101784.207,113,110.595,96.057,NA,0.505,5.456E-4,-90,-90
265,2,122,735.625,575.098,102709.518,164,112.192,97.307,NA,1.596,0.002,-161.565,-71.565
266,2,123,733.606,573.583,103634.829,173,114.716,99.686,NA,2.524,0.003,-143.13,18.435
267,2,124,733.606,573.079,104560.14,117,115.221,100.105,NA,0.505,5.456E-4,-90,53.13
268,2,125,733.101,572.574,105485.451,152,115.934,100.805,NA,0.714,7.715E-4,-135,-45
269,2,126,731.082,569.545,106410.762,162,119.575,104.446,NA,3.64,0.004,-123.69,11.31
270,2,127,729.063,568.031,107336.073,162,122.099,106.83,NA,2.524,0.003,-143.13,-19.44
271,2,128,727.044,565.002,108261.384,137,125.739,110.47,NA,3.64,0.004,-123.69,19.44
272,2,129,727.044,565.002,109186.695,72,125.739,110.47,NA,0,0,0,123.69
273,2,130,727.044,565.002,110112.006,68,125.739,110.47,NA,0,0,0,0
274,2,131,727.044,565.002,111037.317,203,125.739,110.47,NA,0,0,0,0
275,2,132,727.044,565.002,111962.628,89,125.739,110.47,NA,0,0,0,0
276,2,133,727.044,565.002,112887.939,133,125.739,110.47,NA,0,0,0,0
277,2,134,727.044,565.002,113813.25,75,125.739,110.47,NA,0,0,0,0
278,2,135,727.044,565.002,114738.561,165,125.739,110.47,NA,0,0,0,0
279,2,136,727.044,565.002,115663.872,162,125.739,110.47,NA,0,0,0,0
280,2,137,723.51,559.954,116589.183,134,131.901,116.632,NA,6.162,0.007,-124.992,-124.992
281,2,138,721.996,556.925,117514.494,114,135.287,119.988,NA,3.386,0.004,-116.565,8.427
282,2,139,721.996,556.925,118439.805,94,135.287,119.988,NA,0,0,0,116.565
283,2,140,719.976,551.372,119365.116,68,141.196,125.729,NA,5.909,0.006,-109.983,-109.983
284,2,141,719.472,551.372,120290.427,135,141.7,126.007,NA,0.505,5.456E-4,180,-70.017
285,2,142,719.472,551.372,121215.738,121,141.7,126.007,NA,0,0,0,-180
286,2,143,719.472,550.867,122141.049,95,142.205,126.428,NA,0.505,5.456E-4,-90,-90
287,2,144,716.948,547.334,123066.36,80,146.548,130.768,NA,4.342,0.005,-125.538,-35.538
288,2,145,716.948,547.334,123991.671,144,146.548,130.768,NA,0,0,0,125.538
289,2,146,716.948,547.334,124916.982,91,146.548,130.768,NA,0,0,0,0
290,2,147,715.938,544.305,125842.292,60,149.74,133.853,NA,3.193,0.003,-108.435,-108.435
291,2,148,715.938,544.305,126767.603,38,149.74,133.853,NA,0,0,0,108.435
292,2,149,715.938,544.305,127692.914,39,149.74,133.853,NA,0,0,0,0
293,2,150,715.938,544.305,128618.225,72,149.74,133.853,NA,0,0,0,0
294,2,151,715.938,544.305,129543.536,35,149.74,133.853,NA,0,0,0,0
295,2,152,714.424,540.266,130468.847,30,154.053,138.065,NA,4.313,0.005,-110.556,-110.556
296,2,153,710.385,535.218,131394.158,32,160.518,144.497,NA,6.465,0.007,-128.66,-18.104
297,2,154,708.871,532.189,132319.469,35,163.904,147.863,NA,3.386,0.004,-116.565,12.095
298,2,155,708.366,529.161,133244.78,88,166.975,150.685,NA,3.071,0.003,-99.462,17.103
299,2,156,704.328,524.113,134170.091,26,173.44,157.113,NA,6.465,0.007,-128.66,-29.197
300,2,157,703.823,520.074,135095.402,24,177.51,160.795,NA,4.07,0.004,-97.125,31.535
301,2,158,700.289,518.56,136020.713,23,181.354,163.968,NA,3.844,0.004,-156.801,-59.676
302,2,159,700.289,518.56,136946.024,0,181.354,163.968,NA,0,0,0,156.801
303,2,160,700.289,516.036,137871.335,26,183.878,166.095,NA,2.524,0.003,-90,-90
304,2,161,700.289,514.017,138796.646,60,185.897,167.805,NA,2.019,0.002,-90,0
305,2,162,698.775,511.997,139721.957,33,188.421,170.319,NA,2.524,0.003,-126.87,-36.87
306,2,163,698.775,511.997,140647.268,44,188.421,170.319,NA,0,0,0,126.87
307,3,1,756.827,674.039,29609.951,82,0,0,NA,NA,NA,NA,NA
308,3,2,755.818,673.535,30535.262,182,1.129,1.129,NA,1.129,0.001,-153.435,NA
309,3,3,754.808,672.525,31460.573,158,2.557,2.524,NA,1.428,0.002,-135,18.435
310,3,4,752.789,670.506,32385.884,172,5.412,5.366,NA,2.856,0.003,-135,0
311,3,5,750.265,668.486,33311.195,121,8.645,8.596,NA,3.232,0.003,-141.34,-6.34
312,3,6,749.76,666.972,34236.506,169,10.241,9.995,NA,1.596,0.002,-108.435,32.905
313,3,7,749.255,665.962,35161.817,151,11.37,11.071,NA,1.129,0.001,-116.565,-8.13
314,3,8,748.75,664.953,36087.128,173,12.498,12.157,NA,1.129,0.001,-116.565,0
315,3,9,748.75,664.953,37012.439,181,12.498,12.157,NA,0,0,0,116.565
316,3,10,747.236,663.943,37937.75,79,14.318,13.926,NA,1.82,0.002,-146.31,-146.31
